,Date,Daily Case Count,Daily Death Count,"Metro 7-Day Case Rate per 100,000","Non-Metro 7-Day Case Rate per 100,000","Metro 7-Day Death Rate per 100,000","Non-Metro 7-Day Death Rate per 100,000"
0,2020-10-01,47304,900,11.94,19.04,0.19,0.34
1,2020-10-02,50421,816,11.87,18.59,0.19,0.34
2,2020-10-03,49490,703,12.05,18.85,0.19,0.34
3,2020-10-04,36719,378,12.08,18.89,0.19,0.34
4,2020-10-05,39909,361,12.25,19.29,0.19,0.33
5,2020-10-06,40052,672,12.24,19.6,0.19,0.33
6,2020-10-07,53348,900,12.58,20.08,0.19,0.32
7,2020-10-08,55384,979,13,20.54,0.19,0.33
8,2020-10-09,58677,926,13.14,21.18,0.19,0.35
9,2020-10-10,53660,577,13.28,22.13,0.19,0.35
10,2020-10-11,45949,494,13.59,22.82,0.19,0.35
11,2020-10-12,46893,338,13.84,23.17,0.2,0.37
12,2020-10-13,47791,748,14.25,23.28,0.19,0.36
13,2020-10-14,60238,831,14.55,24.11,0.19,0.37
14,2020-10-15,63710,892,14.83,24.89,0.19,0.37
15,2020-10-16,70466,1001,15.28,25.55,0.18,0.37
16,2020-10-17,53610,593,15.44,25.26,0.19,0.38
17,2020-10-18,47119,475,15.64,25.32,0.18,0.38
18,2020-10-19,60443,513,16.19,26.26,0.19,0.39
19,2020-10-20,60798,863,16.49,27.27,0.19,0.41
20,2020-10-21,63945,1076,16.67,27.4,0.2,0.43
21,2020-10-22,74632,1009,17.16,27.69,0.2,0.45
22,2020-10-23,83546,946,17.55,28.26,0.2,0.47
23,2020-10-24,83958,828,18.45,29.69,0.2,0.49
24,2020-10-25,63243,380,18.91,30.53,0.2,0.5
25,2020-10-26,63977,483,19.37,30.66,0.2,0.49
26,2020-10-27,72731,901,20,31.22,0.2,0.51
27,2020-10-28,82615,1060,20.73,32.07,0.2,0.49
28,2020-10-29,90524,1055,21.21,32.91,0.2,0.49
29,2020-10-30,100177,1009,22.08,34.11,0.21,0.49
30,2020-10-31,89002,869,22.33,34.62,0.21,0.47
31,2020-11-01,69742,405,22.89,35.04,0.21,0.47
32,2020-11-02,86608,510,23.51,36.04,0.21,0.48
33,2020-11-03,88808,1095,24.2,37.2,0.22,0.49
34,2020-11-04,107447,1141,25.23,38.48,0.22,0.51
35,2020-11-05,118482,1135,26.58,40.34,0.22,0.54
36,2020-11-06,133854,1211,27.97,42.52,0.23,0.56
37,2020-11-07,94164,1072,29.63,44.6,0.23,0.57
38,2020-11-08,105294,480,31.02,46.34,0.23,0.58
39,2020-11-09,123455,704,32.64,48.66,0.24,0.58
40,2020-11-10,136789,1859,34.59,51.08,0.25,0.61
41,2020-11-11,144000,1006,36.16,53.5,0.27,0.62
42,2020-11-12,158230,1620,37.78,55.23,0.27,0.61
43,2020-11-13,181330,1342,39.35,57.33,0.28,0.6
